# k P(k) shot_noise
8.89964132e-02 6.57991827e+03 3.05175781e+01
1.50791226e-01 3.47063352e+03 3.05175781e+01
2.14479026e-01 1.85431131e+03 3.05175781e+01
2.78366088e-01 1.41054207e+03 3.05175781e+01
3.43509997e-01 1.01161372e+03 3.05175781e+01
4.04788696e-01 8.43357447e+02 3.05175781e+01
4.67671689e-01 7.51555894e+02 3.05175781e+01
5.31061042e-01 6.67561067e+02 3.05175781e+01
5.94685997e-01 5.90812446e+02 3.05175781e+01
6.58767124e-01 5.61451858e+02 3.05175781e+01
7.20530626e-01 5.09330046e+02 3.05175781e+01
7.82786119e-01 4.71502284e+02 3.05175781e+01
8.47039927e-01 4.77635302e+02 3.05175781e+01
9.09685493e-01 4.26324764e+02 3.05175781e+01
9.72079014e-01 3.99179001e+02 3.05175781e+01
1.03476307e+00 3.70540910e+02 3.05175781e+01
1.09762745e+00 3.50235058e+02 3.05175781e+01
1.16095722e+00 3.47018732e+02 3.05175781e+01
1.22396971e+00 3.19040367e+02 3.05175781e+01
1.28711201e+00 3.07638727e+02 3.05175781e+01
1.35002498e+00 2.86239486e+02 3.05175781e+01
1.41270176e+00 2.75520045e+02 3.05175781e+01
1.47557634e+00 2.72213270e+02 3.05175781e+01
1.53786512e+00 2.63302374e+02 3.05175781e+01
1.60065759e+00 2.41694343e+02 3.05175781e+01
1.66407998e+00 2.35731046e+02 3.05175781e+01
1.72727186e+00 2.27782728e+02 3.05175781e+01
1.78976527e+00 2.22821769e+02 3.05175781e+01
1.85235375e+00 2.05599086e+02 3.05175781e+01
1.91480685e+00 2.06617868e+02 3.05175781e+01
1.97788992e+00 2.00278034e+02 3.05175781e+01
2.04107613e+00 1.93400224e+02 3.05175781e+01
2.10405967e+00 1.85622288e+02 3.05175781e+01
2.16694434e+00 1.78716063e+02 3.05175781e+01
2.22974346e+00 1.73067942e+02 3.05175781e+01
2.29272327e+00 1.69193351e+02 3.05175781e+01
2.35531343e+00 1.59849131e+02 3.05175781e+01
2.41811422e+00 1.58087869e+02 3.05175781e+01
2.48096828e+00 1.52023649e+02 3.05175781e+01
2.54349232e+00 1.44794157e+02 3.05175781e+01
2.60640598e+00 1.41311727e+02 3.05175781e+01
2.66934498e+00 1.38958928e+02 3.05175781e+01
2.73250793e+00 1.34788608e+02 3.05175781e+01
