# k P(k) shot_noise
8.89964132e-02 6.58806911e+03 7.45058060e-03
1.50791226e-01 3.56301136e+03 7.45058060e-03
2.14479026e-01 1.86006824e+03 7.45058060e-03
2.78366088e-01 1.42515638e+03 7.45058060e-03
3.43509997e-01 1.00079970e+03 7.45058060e-03
4.04788696e-01 8.48019082e+02 7.45058060e-03
4.67671689e-01 7.33187161e+02 7.45058060e-03
5.31061042e-01 6.55557483e+02 7.45058060e-03
5.94685997e-01 5.71199044e+02 7.45058060e-03
6.58767124e-01 5.41964038e+02 7.45058060e-03
7.20530626e-01 4.99297806e+02 7.45058060e-03
7.82786119e-01 4.60188515e+02 7.45058060e-03
8.47039927e-01 4.53880230e+02 7.45058060e-03
9.09685493e-01 4.00808289e+02 7.45058060e-03
9.72079014e-01 3.72621666e+02 7.45058060e-03
1.03476307e+00 3.50361162e+02 7.45058060e-03
1.09762745e+00 3.30756167e+02 7.45058060e-03
1.16095722e+00 3.20444940e+02 7.45058060e-03
1.22396971e+00 2.97655504e+02 7.45058060e-03
1.28711201e+00 2.83256487e+02 7.45058060e-03
1.35002498e+00 2.57654762e+02 7.45058060e-03
1.41270176e+00 2.51803172e+02 7.45058060e-03
1.47557634e+00 2.49461155e+02 7.45058060e-03
1.53786512e+00 2.35353036e+02 7.45058060e-03
1.60065759e+00 2.18517857e+02 7.45058060e-03
1.66407998e+00 2.15232043e+02 7.45058060e-03
1.72727186e+00 2.03836129e+02 7.45058060e-03
1.78976527e+00 1.97633673e+02 7.45058060e-03
1.85235375e+00 1.85171844e+02 7.45058060e-03
1.91480685e+00 1.83303145e+02 7.45058060e-03
1.97788992e+00 1.76419675e+02 7.45058060e-03
2.04107613e+00 1.68112255e+02 7.45058060e-03
2.10405967e+00 1.61313724e+02 7.45058060e-03
2.16694434e+00 1.52803521e+02 7.45058060e-03
2.22974346e+00 1.49413207e+02 7.45058060e-03
2.29272327e+00 1.46040229e+02 7.45058060e-03
2.35531343e+00 1.36912963e+02 7.45058060e-03
2.41811422e+00 1.33917011e+02 7.45058060e-03
2.48096828e+00 1.27235301e+02 7.45058060e-03
2.54349232e+00 1.21023378e+02 7.45058060e-03
2.60640598e+00 1.15842379e+02 7.45058060e-03
2.66934498e+00 1.12541837e+02 7.45058060e-03
2.73250793e+00 1.09756800e+02 7.45058060e-03
2.79562043e+00 1.06177635e+02 7.45058060e-03
2.85851940e+00 1.03643358e+02 7.45058060e-03
2.92103170e+00 9.89443343e+01 7.45058060e-03
2.98348408e+00 9.62374570e+01 7.45058060e-03
3.04648804e+00 9.20732166e+01 7.45058060e-03
3.10937413e+00 8.75811314e+01 7.45058060e-03
3.17228947e+00 8.75981422e+01 7.45058060e-03
3.23529746e+00 8.36755232e+01 7.45058060e-03
3.29823321e+00 8.08104902e+01 7.45058060e-03
3.36125757e+00 7.87345180e+01 7.45058060e-03
3.42373465e+00 7.49798609e+01 7.45058060e-03
3.48649090e+00 7.37829415e+01 7.45058060e-03
3.54941175e+00 7.18933165e+01 7.45058060e-03
3.61191707e+00 6.89091388e+01 7.45058060e-03
3.67476723e+00 6.71146444e+01 7.45058060e-03
3.73764793e+00 6.49867781e+01 7.45058060e-03
3.80065416e+00 6.42694954e+01 7.45058060e-03
3.86353999e+00 6.18938237e+01 7.45058060e-03
3.92625634e+00 6.10168298e+01 7.45058060e-03
3.98937047e+00 5.80115496e+01 7.45058060e-03
