# k P(k) shot_noise
7.44526604e-03 3.97137440e+13 7.45058060e+06
7.50787664e-03 3.91439013e+13 7.45058060e+06
7.57077211e-03 3.85714727e+13 7.45058060e+06
7.63366179e-03 3.79898751e+13 7.45058060e+06
7.69651121e-03 3.74044554e+13 7.45058060e+06
7.75943752e-03 3.68173639e+13 7.45058060e+06
7.82235133e-03 3.62219331e+13 7.45058060e+06
7.88542114e-03 3.56265924e+13 7.45058060e+06
7.94800890e-03 3.50293244e+13 7.45058060e+06
8.01051103e-03 3.44326689e+13 7.45058060e+06
