# k P(k) shot_noise
6.56559003e+00 4.85214521e+01 3.05175781e+01
6.62838894e+00 4.81364513e+01 3.05175781e+01
6.69120091e+00 4.77356921e+01 3.05175781e+01
6.75407562e+00 4.73176270e+01 3.05175781e+01
6.81685815e+00 4.69255505e+01 3.05175781e+01
6.87961244e+00 4.65607685e+01 3.05175781e+01
6.94241998e+00 4.61916486e+01 3.05175781e+01
7.00524312e+00 4.59196880e+01 3.05175781e+01
7.06812517e+00 4.54013350e+01 3.05175781e+01
7.13101923e+00 4.56903851e+01 3.05175781e+01
7.19393849e+00 4.51251803e+01 3.05175781e+01
7.25685335e+00 4.45738286e+01 3.05175781e+01
7.31965292e+00 4.41987389e+01 3.05175781e+01
7.38250822e+00 4.41421821e+01 3.05175781e+01
7.44526607e+00 4.37454237e+01 3.05175781e+01
7.50787133e+00 4.33097084e+01 3.05175781e+01
7.57076986e+00 4.30126131e+01 3.05175781e+01
7.63365215e+00 4.32041767e+01 3.05175781e+01
7.69647641e+00 4.26556159e+01 3.05175781e+01
7.75940767e+00 4.24644189e+01 3.05175781e+01
7.82232938e+00 4.23126433e+01 3.05175781e+01
7.88534300e+00 4.20785503e+01 3.05175781e+01
7.94793718e+00 4.18164937e+01 3.05175781e+01
8.01050337e+00 4.17865303e+01 3.05175781e+01
